source_row,set_id,conv_id,part_id,record_sha256
0,0-0-0,0,0-0,1d91127de497335a7bf209ceb625b68c0004a81694a837de27886a30114656d9
1,0-0-1,0,0-0,933bdba9a961cb318bf789b09ebdee4d56dc171663b7f3e54029d93c868aa188
2,1-0-0,1,1-0,1f4bbcbb962b758e1686ecb61d023a153be3f463aabf61d4fc78bb94a542ff9a
3,1-0-1,1,1-0,992e0738392bd76b71b5c4dfe5c358694a113ecd902a9edada806187994d1028
4,2-0-0,2,2-0,2a37d65362775a64464d92dfd6b3d87173e39509a5cfe9810879a1946a0026ae
5,2-0-1,2,2-0,1e33731fb027bf129709b0ebeba0bf6a09a87169828a7e22e1e72cc3447a4d05
6,2-0-2,2,2-0,f16416ee7fa4838049e3b33b5d40ec9a823ba910eadb11a2dbd8d67bd2884f2b
7,2-1-0,2,2-1,5f1a70916df890e0ba56be50a3c3b58a3018b5652b70144e0710f414a8312ad4
8,3-0-0,3,3-0,50a2173409900b10844b48e42f30f07b4d95e6104d40485c57fe2a9cbbf79087
9,3-1-0,3,3-1,3b3f50069c7d28f471f65e80f966bab1700b7364491d4c08aa1d70fbae9931ac
10,3-1-1,3,3-1,0ec6ee5eaaed29be882b1de5c9cd731174f80f1bb1f904d4d3ad67daca15ad96
11,3-1-2,3,3-1,7a780c2e807aad0bdbd25a236675d82e356782761e4ba1337841f9a1324a6713
12,4-0-0,4,4-0,aba41612a60b69e64b7955f8f1e56438fa17297a48a027b5dda45a0006a405b9
13,4-0-1,4,4-0,e4f630fc9cd05f16780b5bf30dc8f17ad813b116c0d08c43ed0a77f74436f885
14,4-1-0,4,4-1,8a09d9ec5ad02b14a51e7bb276c02da17643f2e1cbb77b011526a7c5bf788471
15,4-2-0,4,4-2,03be958cc87cd1de310e329ad8ca2119b6a2cd870abc06251811f548628ed247
16,4-2-1,4,4-2,5723b0cdbea38c58cd667b1565bab2ef05e6dbeb0cb6118959b8666bf8ad9c79
17,5-0-0,5,5-0,521129fe3a52d6d66f6f21cf227bd227e05d55e5d4c9465448edd7a9776c6796
18,5-0-1,5,5-0,812110334db5bef47a9ddd614e274cef336c1616e0dd93f7b1c206c68255950c
19,5-0-2,5,5-0,cb05b76a0dd12862ca8454ed534466087aeb26554dccec9b88424cfe21713196
20,6-0-0,6,6-0,c015afbe80d197608057712af31eaf0db7617142a51abf29eb6349179109888e
21,7-0-0,7,7-0,61a97296ba98a42e8374d7810163744b714673f02261b805df6f1c6949d74f74
22,7-0-1,7,7-0,c00e626ba5760d9f5a030973af648b0adfb6580f1f994e7b88660b6638231dbe
23,8-0-0,8,8-0,a2fe7ebfc92bb6514e51d2798018608cfc5ae9d03c63e98b2c7e40d069cfcda7
24,8-0-1,8,8-0,fb92d7d1ebd4af834975c7a3e4c0299ce3dbe17896fe814b3dffba892f0bf036
25,8-1-0,8,8-1,452da42a77e4f28a50983b2d9bc39cac71a5e11831fa0296cb685c4a24c9f9ec
