source_row,source_index,set_id,question_order,record_sha256
0,110,30,0,c5c1be2e62dab553f053a234460fa4d1c0858b1eb815597177dec376332fdcc6
1,719,99,0,c10a9ffef05cf18644c28eeb119793f7c8b347d2f24241461ebd6a7d2296a060
2,865,105,3,73c98533e4d07219a99a21c00a1f288a410b9c1e3036f423bcde455f75bfcbc9
3,77,17,3,948b6f4d6fde01245f9f1100a259915005fbb9bb8755c1673bb374fea28778bb
4,181,21,4,d612a1804173b5ba19b9a94cfb61fc1097952daa3261b9d7ef3dd3ee744c4ab5
5,284,44,4,420fdad30204289f39ed92fd543f2d7c5d7e1a714740e5d5b46cf394160ceeee
6,10,10,0,f8980ac1c2a14e2c3ced85c66a32b0d478cd80c312342bfa053c967ee9963c00
7,769,89,3,c366020783a18f72643bb0b07d5e2e613c59b98d372fc045dc242aa622979f01
8,78,18,3,d84e470534f35eba20ed0cae0e4337b4707c15cc748c86f499a871c69f436200
9,649,69,2,8fa39c6a900f000ba1c001628915246f7ba4dcc109e1c241d7728e516be6312e
10,55,15,2,26cb23068b44cc726a629d668b8cd3ab98b7dabe1661b1df056529b1a75c12a9
11,118,38,0,fd5e2872c21e8daa2ab6c3580eed5995a8ece1451b48cb4bf256fa62c56ed3cf
12,109,29,0,e73068740fc79eb8f7c3f8b4ed0d28ff172fafa135f8d32d3d66eb9de2d5fb6d
13,888,108,4,90c953c1206fbfd5d7aaeba9a4fe91f18409956dc1dc53a2d43cd979dcbbfaa8
14,669,69,3,1026fb83775273f8b1bcbd04b64c63a42cb0322b60f7f9bbb0a1c4df0f89bcfb
15,234,54,1,916887083ec61d1e26c98cb7e90cb7427bb3cb649548574e0ae021dd7f2770f8
16,30,10,1,777b048252ad6f56acfe9291a87a0d41d15d46e6261338b3734692b208083293
17,212,52,0,94c899c3216d63723502df8ca9b0b0712dc21e567ec8a6b2b613a05825d11e8f
18,184,24,4,bcb3c84153e406d1706493adde4829993c2a646940de2415f37929b14b48fa37
19,86,6,4,3fb5d0235d7b20370822180e2edecb81656e584d7da6312435cde724f1be4132
20,2,2,0,3f7e3d6177e266c1d9638e0ce096773d9b56a953de7601ffcf9f2c7415db41cc
21,887,107,4,f80ffb13d3b2dae131bafa74026959aafd9f1eb3fd8d213a3891de673b44beba
22,835,115,1,d82cb16891d149fecf8a3c2586bc9dc76d99f0dc31f15fe3e9c841599cd81314
23,896,116,4,98485948dede2a103753870423bbbe10489363aa18f2e84889de9d7a09f8b448
24,668,68,3,b9f55b05ce2e67b8244cf9121cacf0e79729d19d84436e725b7f78a95d15d221
25,839,119,1,850404310036ed4f2e980c591ae05af237588fc408aaa91818bc00e79736aeb7
26,72,12,3,e221e493026ab99022de2f4bd20364e34782babcbbd5cc4050ae788ec70113ea
27,135,35,1,f46d6c28c8020493738bf46ba152c9c96931f73760785041321471d2f34570cc
28,856,116,2,1d2e30506a7b272f8c41d503905463de2420fbbd91bc277e42b9f26ab7f15f75
29,737,97,1,2dc2ddde25f8e6786e276b197a8e20f21aacd55369f676ca3c3d237f50fb6e01
30,895,115,4,2616f63e59c49840f43ac08d1b757b7e233ddd1ef14b7acca94932e44a305672
31,163,23,3,d4441cc08286938da2914f96140f6bf0f59787b6a35c4eeaa01e4c2be050b8bb
32,82,2,4,ae00212d5643e435ca22b7f2343821afe5da3cc08db65b09223df6f3cacd55cf
33,257,57,2,c23ae5df5ddf02f5deb3a20d7801d652a1f0af769c8a2bd43c0adc040025843f
34,192,32,4,16632c207b78d9733b217fe826273f06b28b752714d3db3cb824254df11416c6
35,753,93,2,10cbfb73db68afaf2a1c3caaa8a6c7c00105e9a4615f0fc4eb5db8e36ded9a69
36,132,32,1,baa6f380aaf42166904d2c3d20e797a41225f1c15ad83531ec7693f24e2ea516
37,815,115,0,bd8a2f0a8f8bd97a03a607ebb4cdad158d08a7952fabfe76001090786e82d58e
38,741,81,2,7df8762d789529b29738038ae20d6f724c787b17f6b7d1c4a0c99e246ae16e91
39,275,55,3,f4031f0bd20e3817acc3058815f322b9b630159278d4b91f7afa780480519056
40,664,64,3,86feaba92aff051d8528d67c8497930ca05642e270d24b33d6afb17470f3c78f
41,29,9,1,e71704cbe1c72212eaa45159b92dc34339d028407140c21af825a7b35fe40493
42,806,106,0,cf25c5d1c72a078a64aa248e9d3d37011fe2d35c6ac80bd47a89630b6796cc55
43,870,110,3,f661c5a89f66d6e2f5465966bbeb59d7eb2f69c93758ab9ea3f4b84e69de5f9f
44,24,4,1,0c9b9b9aff9162c6058fa5ffe92d615b768241949b07d80ff976a5788be8e9ac
45,182,22,4,2a203b396b8a05803ff6de372dee6eb51290ee7137e5565c34818ea498e6a039
46,773,93,3,973c3890e4354c69fc1f8051a620e9165c679cff74df4ef9b3512dbbbbfbe3e8
47,104,24,0,94be30e34bc1899c9ea716398f8de13b1286a17bbff906292b6413593bed0af0
48,63,3,3,62fa8292b6a4a8e03c58b526bb0957c5688a65e794f42b9c21bae2a201d96adf
49,790,90,4,ee526788a6814fb053a398b91e1fcef2c8f2068479acb480d5d5b6225175863a
50,245,45,2,d732ae6393887eb1dd0a9b77a7a58d74ec23b1facf586d6b27dcfe9248b5badc
51,248,48,2,43bb0c624e9fbd7cb046e30373e79ef9ea1cc6be23ad74dd021b7c15af8b0d4a
52,101,21,0,6235d1cf9e8259a5b1af732245b94c1b6d0f2eee27856e4d36feea76d2dedd72
53,855,115,2,79f146be8fb4a0cfe139fb1ed7bc46d466024beb7fe63617f05ea933ca7a1b5f
54,891,111,4,0cb446eacc8e637b4398a794d05825d0f3bf7dbfa7bf3a2488f8078244cf30d6
55,656,76,2,3b81e7b1800e081ced8817425c66b064607bd9342ffde3a697f41456b182b470
56,209,49,0,a88966c7235bd348c0cda9e0647747598aa3c61c61a8c4a758251b5ee467a843
57,165,25,3,5886a94b2525007c1a273864b32b60d3d51a38dde5d14b5b5430fa465081afd3
58,137,37,1,9198944724ad5fa71114944907356763322709076dde8a76e3632c09c31f9925
59,195,35,4,cc172a1bf325cd6d84db1397c88ab269ef0ec0183b87b9d600a06c838844a03d
60,76,16,3,6a02f46ca76dea2e629f046da1ab89bdc10023bddaf6b39a49a2303888c7acde
61,176,36,3,b3ea1773a5cb5f19f6a2df2f3f8496d25971430168550b8dfb26229178a39705
62,629,69,1,3a484f22d396bd5daafbdfb0960e431827cbad17df76893a2f2e5e5c80c8e948
63,836,116,1,2cbf9004cf2151985c6ed880f8d426f2fd976ba06eb2ab1231e848e737340a01
64,848,108,2,42ca80e047f56bc50bb5b5433e9067da1789bebce647dc076b7ba7c1b7291da8
65,70,10,3,67357583070f4e3a871096a38ce25e216770de158e6efacd1c50a1b0b9895f01
66,861,101,3,2ecbce5942ed34419ae95f23991eca31a290bb9c42293c3a6692db9495c7467b
67,889,109,4,aa9ca07bbed5fff15d9579d9ab43c2b24be8c9ca82a0439afbe350d0456e3b13
68,81,1,4,d937ff66530ed0178096c3a563abbd4ee181d93fd31c4e9587c2be6c3cc0ea5a
69,616,76,0,76d28435053f2c6f980a7d8a4e325f68b59752623f6fd1963ebb590cf3b51430
70,604,64,0,7f4fe5eb416165d6c6bc436486175c7cb181588a342f9dcfaeeaf7c8a274f596
71,6,6,0,7e20c447283143442e948ec37f3bd359246a7bc2bc63223766a35ab0e499e2eb
72,723,83,1,c0518c751c1562cff3ca660e1212c84d88b250528707af7b422e4bc21f12d4a5
73,674,74,3,a80fd98f9fd494bbb2fffcce43806271e27ee72008c74b03e372087e1b4cae8a
74,729,89,1,797f684e3bae7e4ed55ac588b922c77d0664ca70fe2e7f785d39bc0e3119e51e
75,837,117,1,8b2a21a228e1be2c8aa78ad106d81aa130f0bed561495b6004701704120eb2a1
76,612,72,0,4d5c8492ac66a61cca2834421058bfcba30f1224f7b2590107d7c8bd0adda8b4
77,238,58,1,d928b77c7e1e03c63dc6c317c260907d4452e367b2b9c0b2e449d9926a7201d4
78,859,119,2,ffc696955e3d27fcffd7527719e5565365437e54684cbedbd4ebb956a58a29af
79,732,92,1,7217a6f64cafb072856391dc1321146b9071a3e97e0b3ef66e379f992d62a4bb
80,286,46,4,978bf770b64d94c005693a7fc18fb7a050b6b6fd81848ae84cff99354ce0da0e
81,726,86,1,a21c4d68ab64233d972813beb9af6d9766b38ecb651520b2691d351ca50607d8
82,898,118,4,e740bf1c59206af932c426750bcb87f00613c7a29395b8d2d9203a188bedc3f4
83,661,61,3,9ad0687ce643a777fb470fecb485fbe940bfe3d5bb6d4be1275f40a5329162ca
84,73,13,3,8f9e5b64c45d4a1e602874eae6d1709f80f3f7162352cbc5536ce6a8f5853c3f
85,39,19,1,044bdab7f25ae1b9eddf88e6426a89c2b8c457bab3e0a0aae5ec5bfe1ea73a19
86,155,35,2,2ef79fe0486cc8154348fb6cad79ff118b3ac368f35e1bada7fc09752373a15c
87,218,58,0,cbdcaf89b18ee2fdb4bd2c148dfe5012e9896061e5cf0dfc0004e1bfc19a7fc8
