source_row,episode,start_time,end_time,question_type,record_sha256
0,6,0,5,1.3,cdec618a4abdc5c8ec24ff5998b1da50820e81bd2183191b3c5802e622ab0e4b
1,23,0,21,1.3,d88680099a910196e1776c974c6adb7114be26f64854ee0509abad261c71497e
2,23,21,21,1.1,c81cb0fd81c73bde3561ac3977eec5f7c13765d8b703d0a886480a7264c3caaa
3,43,0,7,1.2,0e6dbac6549b3ad6535f3ffc6a6b9344d4bc331c8a1e3ae001d77ccf5156f874
4,43,8,14,1.1,0689b8b5bd171ce5716224ac3741f65dc890a4026117c05d51c1d548734e3081
5,43,15,17,1.2,800693ef97d6f084baf1566f837b9b46a56a35bf6b629f03c0ddbd05a17e992d
6,43,18,25,1.1,69537e5da2497827a5b3fbb63abae401634144a4133460d6a791ace50ba7d2f3
7,51,0,10,1.3,0fc6866870dce7c3c7ea5020230a2f4cc48828df02256a70b2c5ff93a3917eea
8,54,0,10,1.1,b83a9878a35bd2b6f89746aff03ae087bfedc0b6b14476159ff7f48283099c7f
9,61,0,11,1.2,0232094e3e9c05d656bda3a3ac33810c1675c62a38ff7399931bc463beb2230f
10,61,12,20,1.2,ab5d0e12b4cc7f2fed2811a879448d7fbc42437992a8dd69b96199d6dedd2d40
11,61,21,27,1.1,b30de46b96ba549e138992927aab83402b677fa5c6f0a7e963dbb8a8028f244e
12,65,0,6,1.1,6ed5e8389b5db30d07e9d038bcdd3b733312496f02f6f56e72d81a2fdb8e5d72
13,65,7,8,1.2,07bb281bd109ca435b95a55fa676807f97b10f647f8083077f51c9a56235a178
14,65,9,13,1.2,bf8e501e26d9733781e105e6ed54b20a240518acb382d0db26e47c73a96265bf
15,65,14,15,1.2,3cba152715cd581e282ec388fe066c6fbe92194e618273943bea9c5563e0ff79
16,65,16,22,1.1,143306c3719d3b14d3a54d8b575b212ca6f9c636f4f67cfa26f8f4a08df2c397
17,114,0,9,1.1,8b2a7176e9d8905fd86f1f959329467d36bffbaa8daa5f867f3fe4642f4ab137
18,124,0,12,1.2,8e63ec4aa22d46f1bf8b914da065a995efd5ec94c7e3bc17ccac250f62cf3745
19,124,13,14,1.2,6fd007547636a855f1f6b8f2394f1c2fecd2974e8ced1381cb298597a9356df4
20,124,15,25,1.1,9cd3a7b2d523042e85544fef63448f66fa4c11c06a8e8688bddc7d32208fe71c
21,124,26,34,1.2,78c56320acde196a01f5cc3ba5539e0b3a6a87d46482b9e31194d3e64e2cb1fb
22,130,0,9,1.3,5f754c2efd20c77ebb09ce9097f53f9564055f88ad1d2671508527f3921945b5
23,130,10,11,1.1,f4d0db916affe7787e786a2d5f755870642f4d08ff3f0c8e5df84b32c2b47f66
24,130,12,15,1.1,c2229664f999896d914d06c8bffe3ceb975fb099f9adaf1befe2f2cae1408d60
25,131,0,9,1.1,17ecfcc1a09c94570bff5dbe71af98447a311cd131bbc7e38f232080f8f3394a
26,131,10,11,1.3,7db98c665931e46148a617c842c7d2007c99608dbed016066936403c2bfb72fa
27,131,12,12,1.2,3aa73969c9c66c30e33e231b3cbd2818e9f89340ea8565d6a2600120dd087e36
28,131,13,20,1.1,9e6e7b1ea9a2f830b03a7f246ad52c7cd3d4905d39c89222733ab9c4ec2a0d96
29,135,0,8,1.2,ac09ff13dbcfa05b66efb29dcd9bbb84be35424efb78eccc0cf2491141c44f80
30,135,9,13,1.2,07283c3f4bfaaeee8bc55fc9bd7a5ff83a1b5140b1b1596a1373f1ce2d21b18d
31,135,14,26,1.1,cafb14f9c13e57f84d869a25c6e64d9affd89b8f3a6e8eefe09cfd11c819dcd9
32,139,0,6,1.1,e2ee4c29d2d25996bb22d9b343a07da5f825510027519f2f62011cb09e2ee8b8
33,139,7,9,1.3,210db01e70400ec6e75d71dc7dbe0049cccb74b7fb7ac29bd585d420bdb80820
34,139,10,12,1.2,19b2ab950cc0270a64959b19432b1c1e3d7b4c4c264fa22ca395070c3b9577f7
35,139,13,15,1.1,49e59b8b555a46f8af00c252ca87f89e3137cfcdada2c8dcaf5b1731c6262da9
36,142,0,7,1.2,91383674f84c40ea0fbcdf40d1ed7de5737e778d42142a6037c0df8d5437e201
37,142,8,16,1.3,5bb654a88ab92c7157843b07baf1c8b256ee1bfd37f14481060e6b45a6e3622b
38,143,0,3,1.3,5e09ee117eb5c66f4ba117512a749c77b5fba8b09c65ac00de63d3ef5e83ebf7
39,143,4,5,1.3,7a52dcd82a3045180df4c5a80697879035f3b00f7ea80cbee6e334d235d3b7e8
40,143,6,6,1.2,6d2da96d6b4dd502980306b75e5bf359ebb7409db201dec03c0044cba1478d71
41,143,7,11,1.2,01da06b0f64ba1223d0f470a5b351676ae93ccb8589489a966ede116517b11ff
42,143,12,13,1.1,a303aa007b78df6a32625319d52ef20455d83ce5dad1d8e559ffa9e7b3d2e0bf
43,143,14,23,1.1,278246717d4cf776045fe116a9a1cd48679f739b0f6ba640b5c3a265e257f7c5
44,147,0,1,1.2,b1691a09ebde9d7128afe8271b7a1d545e8a84afac27192c84028e447fdd680e
45,147,2,8,1.2,bb755d4f558c4f9e5df666f0317528e7f9a83dc73b079a1d55a58ff5d4f72f27
46,147,9,12,1.2,0f5d514694d2d72023c106269af55ba5bfa352e6ecae27dbde63378c57c0e87a
47,155,0,12,1.3,1c2017c6ee1f6f1893d25bf14489281c8a4dfe85f45b736acad03c91b987fbb4
48,155,13,14,1.2,50855262bd342a90674318cf6564a34bb33ed9ff85f285b34b5d229b8bc28ac9
49,155,15,26,1.3,68a68d4c5820109b584ec7b72ed61e78f8ff69bed10b380b3b5c60c02017e820
