source_row,source_index,record_sha256
0,3506,84ab2698b4ab838557aaae91127a1f1cb01606d01a11a69f99efa1492785b024
1,5261,5e4245aeb96c89b87742bba53062e9ce373259bfd8254aa720188b7613c5c6f4
2,5217,5e2110c7f17c8930f6e7b662e5561d647447ca3edeaa66137600406940e9b989
3,2060,6c06ff1719435291a5b1b030cb1bd1f9505728d036ae0bee2e7891d7fd71e8b9
4,38,65f7ff6b63ddb878e2ce452d2fd6e237725a5a40723819977e85e870a81bdca4
5,1494,9f56b6e1a7a6bc42a742fc16d954cdc8397da4b431bbd5a57eed129738b86bf9
6,4775,7500207de3e58b86e1c96baf8d3ee542db2dc1efd10a50e5067321c8504b140a
7,4060,a886e98b6718ba37ce0d75365d89fa6ff9341b1d135cf23480a5a0d00ec6619b
8,5765,178b6d55046be138a53a9f024ecdef5398790481d989b280345ab1ae4f1e0219
9,3888,5a30b9dfc96c0378e711aae616dbbc7f833a7024b280a7f00f6abc88daaa0fe3
10,4783,2e14f1c9fc38889f6eb85555f2fbd721d34ba491c9539c1ed604b8c3b1bb1bea
11,775,36e1b9ed7ca28a961d3a2dc7f3a83a1bafaa13e45d4b720d53b09fcdfd1f7e00
12,46,44d176f8bafb9f4a1def482eda9d43842cd3bdc3636db9c0dc4e29cd1a33ae28
13,4401,0364280338743aa8048f98922acd454be48b69b738203140b2958198807b2fa0
14,5858,3e0263021c6c605f42364c82cbb0d25b8a6c6534c4a0a9651fabe5b8a9d4d704
15,1350,0a9ab8096ed5bf747465a9cb6d26330fb7f70d47a1524e98673e053bc145ea80
16,4223,390597758c2bcbbe668b5a8953afb5ebb968fe286ba4d850335e7371dd60b7e8
17,5339,7bfd20b532d4e59b8732b78fc70223edee661e95c26671d7c89cde0b60bcded4
18,2731,abbc71420a5c6cd069f4272615800ecd2ed6b1890803f4c072c13085e8665923
19,58,5e18e6daddaa16bc43d119b9b5d2ec0a7a00c861bf6ef86f56b23963c3f33e34
20,2674,8afb3bb484639e33efaceeec07110422084f76c6c24d5838767c2ab4ccd18bb2
21,2478,8beed73d76c85dc132a6da9d3302d46852b1cedc03cce440d51d9db1bb462114
22,940,c68e204f1217fba872023533086cad88debe23452d81a994fb988285b290e2c8
23,3439,348837d5baddd0347aa8aa5392d54622c4726df5afc3ccffa8d2481ee8d7da67
24,4111,d1b17ee4924f8df520ea3dae20a06d5411c70d7df195631bd0dc106797b9f44b
25,2212,5721301ce990b0e7a2d804a2b09f971af3c243e77ece718b8d93e13012bec76f
26,3912,2fb2f829d89af688ca64ea8d6760c4ec38e7bdb1bbd8668fc52ae1721993dea8
27,1821,9a1633bea4f163d87893a9c1baeb0a600d18a850e4b6e084253bd87e578fa9f5
28,4248,02ed6a43d4ab696a1b3187086e8cfc5e51391bf77011006f6e5f59cfc6701cfc
29,1692,523a6caa80abdd01509a52d429c368cd26c766453257570ac0e2dbf93b2c1e59
30,2145,db953d4a3901471f1adec5b78067e2baa035f2a346a87bbac95bedfc7cb17dd7
31,2770,a671a10649198c12a2ec4c48462a79ef1a1153f1bd89135bcf4b13b37e5a13f3
32,2844,04203acd0d3f9bb9f6d1de6cde09ab297c41c6360cd20b992aad22af243e4fc7
33,3782,5c31fe71ad307c6318d32a8b9527aff3c78757dfdd813a4ae391b10a529d24eb
34,4559,9a9aa226154f026430d2c8afc3fc21f48e199503d7929a1d8d3fc57835e6f2c9
35,4810,1ffc01f82dd897ef951fd785969810bc2585ca2ea652d4a9b273920e04515831
36,2444,57cf69ce667602087ae7322b0568787ce340a8288af704da3f9f13a4303e7efd
37,4687,7341f29505df8c1950f8734c44afe8987418d43fcb9ed6ad10370861c0d0bd70
38,3009,d95680161f0ec2fa02e00ab51ce558d02e569e5ffd9d8089520c17629bc6e2e3
